Pβ2,Pα1,Pβ1,Pα2,P3,ps,pt-wt,ps-wt,V,α,β
0.08501099999999999,0.044947,0.053868000000000006,0.094101,1.309858,0.04478,1.3135590000000001,-0.019191,50.003268,0.0,0.0
0.072051,0.293586,0.03535,-0.161609,1.304471,0.037539,1.308507,-0.0202,50.030691,5.0,0.0
0.036192999999999996,0.5450860000000001,-0.004379,-0.395264,1.271978,0.006057999999999999,1.308676,-0.017675,49.989965,10.0,0.0
-0.023566999999999998,0.771335,-0.071208,-0.618817,1.19791,-0.048652,1.3101939999999999,-0.013132,50.016271,15.0,0.0
-0.10622100000000001,0.9677910000000001,-0.156219,-0.8039949999999999,1.0721589999999999,-0.13181199999999998,1.309183,-0.0101,50.01724,20.0,0.0
-0.216655,1.13108,-0.25402500000000006,-0.957014,0.9097099999999999,-0.23130299999999998,1.314401,-0.005893,50.003874,25.0,0.0
-0.375734,1.242518,-0.38465699999999997,-1.1147500000000001,0.69272,-0.305538,1.317093,-0.004208999999999999,50.00901,30.0,0.0
-0.534648,1.301271,-0.581952,-1.295211,0.43903,-0.397282,1.318103,-0.001347,50.041558,35.0,0.0
-0.732786,1.317429,-0.7933870000000001,-1.49873,0.151674,-0.503505,1.324334,0.003706,50.02837,40.0,0.0
-0.909037,1.297904,-1.070475,-1.725991,-0.167836,-0.636998,1.324669,0.006899,50.028443,45.0,0.0
-0.034342,0.05471,-0.035686,-0.062625,-0.004882,-0.021714,0.05824700000000001,0.003705,10.082288,45.0,0.0
-0.044947,0.050839999999999996,-0.04579,-0.068683,-0.011951,-0.024914,0.06397,0.0033680000000000003,10.067544,50.0,0.0
-0.053869999999999994,0.04966,-0.053534000000000005,-0.066325,-0.023568,-0.029459999999999997,0.06599,0.004714,10.058772,55.0,0.0
-0.06497800000000001,0.040401,-0.06497800000000001,-0.068852,-0.038043,-0.031478,0.06700199999999999,0.002019,10.058442,60.0,0.0
-0.070199,0.032488,-0.074407,-0.069692,-0.051176,-0.029964,0.066833,0.002356,10.02942,65.0,0.0
-0.07625699999999999,0.022894,-0.08130899999999999,-0.069188,-0.062121,-0.031984,0.066157,0.0025250000000000003,9.990676,70.0,0.0
-0.08534800000000001,0.009260000000000001,-0.09141,-0.07407,-0.072893,-0.034004,0.064474,0.001177,10.057256,75.0,0.0
-0.090566,-0.004378,-0.09595400000000001,-0.077606,-0.082826,-0.044613,0.062624,0.000504,10.047908,80.0,0.0
-0.09023,-0.017339,-0.09646,-0.077776,-0.085852,-0.045619,0.065482,0.001176,10.053145,85.0,0.0
-0.09578400000000001,-0.032321,-0.096291,-0.079962,-0.091073,-0.044442999999999996,0.061276,-0.00101,10.029069,90.0,0.0
-0.150667,0.206046,-0.161776,-0.257559,-0.025923,-0.092251,0.21093199999999998,-0.003033,20.019538,45.0,0.0
-0.196451,0.19426400000000002,-0.189548,-0.270523,-0.079626,-0.138884,0.21110099999999998,0.0,19.993721,50.0,0.0
-0.237696,0.17271799999999998,-0.22120199999999998,-0.272037,-0.13012700000000002,-0.15504199999999999,0.211942,-0.0025250000000000003,20.01497,55.0,0.0
-0.27557299999999996,0.14628800000000003,-0.258739,-0.278769,-0.179786,-0.189212,0.214129,-0.001177,20.026379,60.0,0.0
-0.296617,0.112281,-0.300824,-0.298302,-0.22725999999999996,-0.140735,0.213456,-0.00016800000000000002,20.004571,65.0,0.0
-0.326579,0.071208,-0.33769,-0.296954,-0.273888,-0.13804100000000002,0.21429700000000002,0.0,20.01466,70.0,0.0
-0.35183,0.023737,-0.36546599999999996,-0.26766100000000004,-0.31614200000000003,-0.15554600000000002,0.21446700000000002,0.001513,20.022146,75.0,0.0
-0.371863,-0.026429,-0.38044900000000004,-0.283316,-0.348631,-0.172885,0.21631999999999998,0.001008,20.006058,80.0,0.0
-0.380112,-0.07861599999999999,-0.38465800000000006,-0.281632,-0.368665,-0.18837,0.21631999999999998,0.002187,20.028001,85.0,0.0
-0.371357,-0.132653,-0.363109,-0.276582,-0.376073,-0.176588,0.21615199999999998,0.0013440000000000001,20.019834,90.0,0.0
-0.348631,0.471183,-0.367485,-0.5873389999999999,-0.057407,-0.205037,0.481451,0.00033600000000000004,30.015854,45.0,0.0
-0.461588,0.444587,-0.432632,-0.6534979999999999,-0.179953,-0.328936,0.480274,0.001008,29.974361,50.0,0.0
-0.5454220000000001,0.399642,-0.51007,-0.678746,-0.29695299999999997,-0.353512,0.482798,0.001008,30.031067999999998,55.0,0.0
-0.61764,0.336176,-0.590536,-0.6949059999999999,-0.41445499999999996,-0.383311,0.484316,0.0038740000000000003,30.011934000000004,60.0,0.0
-0.656189,0.253351,-0.700798,-0.617977,-0.514952,-0.288031,0.486165,0.005554,30.035165999999997,65.0,0.0
-0.7255469999999999,0.157904,-0.754331,-0.436674,-0.6077049999999999,-0.303014,0.486166,0.004546,30.012536,70.0,0.0
-0.792546,0.049828000000000004,-0.818805,-0.554682,-0.704504,-0.35906699999999997,0.488692,0.006395,30.013795,75.0,0.0
-0.831598,-0.06296199999999999,-0.8462440000000001,-0.6134310000000001,-0.777731,-0.38448899999999997,0.49020600000000003,0.007743,30.056443,80.0,0.0
-0.849443,-0.18635,-0.838838,-0.607538,-0.830589,-0.383312,0.49020600000000003,0.008251,30.024409,85.0,0.0
-0.820826,-0.304191,-0.802983,-0.6041719999999999,-0.8580270000000001,-0.35553500000000005,0.48986799999999997,0.007911999999999999,30.042257999999997,90.0,0.0
-0.6274029999999999,0.830256,-0.669994,-1.0708119999999999,-0.11430100000000001,-0.37624,0.850286,0.001177,40.05003,45.0,0.0
-0.825708,0.784292,-0.782443,-1.194711,-0.331125,-0.596094,0.8479279999999999,0.002694,39.970239,50.0,0.0
-0.915938,0.7085440000000001,-0.9671139999999999,-1.222823,-0.525726,-0.413107,0.849611,0.006227,40.011134,55.0,0.0
-1.03849,0.59929,-1.113908,-1.100776,-0.722349,-0.46057800000000004,0.8538180000000001,0.006732,39.979665,60.0,0.0
-1.139663,0.448794,-1.266085,-1.118115,-0.9176219999999999,-0.593565,0.8587009999999999,0.010603999999999999,40.047742,65.0,0.0
-1.256488,0.276918,-1.375846,-1.122156,-1.090676,-0.590031,0.856512,0.012962000000000001,39.970326,70.0,0.0
-1.382577,0.08332999999999999,-1.467589,-1.1012819999999999,-1.250599,-0.609559,0.858028,0.013805999999999999,39.96526,75.0,0.0
-1.4876200000000002,-0.120529,-1.524319,-1.0937059999999998,-1.385608,-0.673696,0.862067,0.014645,40.020882,80.0,0.0
-1.518596,-0.327085,-1.5253299999999999,-1.05061,-1.486612,-0.682618,0.863921,0.016833,40.045325,85.0,0.0
-1.481898,-0.53852,-1.4431800000000001,-1.032935,-1.557987,-0.637338,0.866277,0.019191,40.166769,90.0,0.0
-0.977046,1.2960509999999998,-1.057681,-1.7756530000000001,-0.193757,-0.639187,1.3231540000000002,0.000504,49.975504,45.0,0.0
-1.262718,1.223495,-1.242855,-1.9168889999999998,-0.515794,-0.8649290000000001,1.330897,0.0038710000000000003,50.043006,50.0,0.0
-1.405472,1.096902,-1.452774,-1.7573029999999998,-0.806518,-0.8521369999999999,1.32669,0.004714,50.020746,55.0,0.0
-1.53358,0.9317629999999999,-1.5977169999999998,-1.362041,-1.058858,-0.911729,1.326184,0.004209,50.038786,60.0,0.0
-1.736598,0.705514,-1.774474,-1.283762,-1.345205,-0.960379,1.331907,0.008922000000000001,50.065471,65.0,0.0
-1.964699,0.43128500000000003,-2.036243,-1.528864,-1.661854,-0.933279,1.334263,0.012456,50.038336,70.0,0.0
-2.172766,0.127939,-2.262659,-1.646199,-1.9576280000000001,-0.9322670000000001,1.339483,0.017002,50.03962,75.0,0.0
-2.311647,-0.19156900000000002,-2.3702300000000003,-1.684579,-2.184551,-0.9935409999999999,1.335273,0.016833,50.020481,80.0,0.0
-2.345314,-0.51327,-2.360632,-1.6133739999999999,-2.3404309999999997,-1.016775,1.3384719999999999,0.018348999999999997,50.031069,85.0,0.0
